action_time,action_type,actor_id,actor_type,attrs,channel_id,channel_type,object_id,object_type,theme,partition_time,txn_amt,txn_fee_amt,trans_type,target_bank_code,target_acct_nbr,address_zipcode,machine_bank_code
3696969655,transfer,24,customer_id,"""{\""action\"": {\""txn_amt\"": 631.0002776695287, \""txn_fee_amt\"": 15.0, \""trans_type\"": \""trans_in\""}, \""object\"": {\""target_bank_code\"": \""A_bank\"", \""target_acct_nbr\"": \""KNVIHNRTXOBJAJBGWCBD\""}, \""channel\"": {\""address_zipcode\"": 13573, \""machine_bank_code\"": \""C_bank\""}}"",3696969600",BGZXUBVPWOQPFUBINYEW,ATM,RRQAIWQTVFEMFNHQRAKO,saving_acct,atm,3696969600,631.0002777,15,trans_in,A_bank,KNVIHNRTXOBJAJBGWCBD,13573,C_bank
3696969655,transfer,49,customer_id,"""{\""action\"": {\""txn_amt\"": 631.0002776695287, \""txn_fee_amt\"": 15.0, \""trans_type\"": \""trans_in\""}, \""object\"": {\""target_bank_code\"": \""A_bank\"", \""target_acct_nbr\"": \""KNVIHNRTXOBJAJBGWCBD\""}, \""channel\"": {\""address_zipcode\"": 13573, \""machine_bank_code\"": \""C_bank\""}}"",3696969600",BGZXUBVPWOQPFUBINYEW,ATM,RRQAIWQTVFEMFNHQRAKO,saving_acct,atm,3696969600,631.0002777,15,trans_in,A_bank,KNVIHNRTXOBJAJBGWCBD,13573,C_bank
3696971685,withdraw,6,customer_id,"""{\""action\"": {\""txn_amt\"": 73.33138973731555, \""txn_fee_amt\"": 15.0, \""trans_type\"": \""trans_out\""}, \""object\"": {\""target_bank_code\"": \""Cathay\"", \""target_acct_nbr\"": \""PVLVMEUDUVGWFHEEQDWR\""}, \""channel\"": {\""address_zipcode\"": 18361, \""machine_bank_code\"": \""B_bank\""}}"",3696969600",VMZDTVFCDQNGPUHYFVBP,ATM,SICMEBNJDHPWWCVZJMUS,saving_acct,atm,3696969600,73.33138974,15,trans_out,Cathay,PVLVMEUDUVGWFHEEQDWR,18361,B_bank
3696971685,withdraw,31,customer_id,"""{\""action\"": {\""txn_amt\"": 73.33138973731555, \""txn_fee_amt\"": 15.0, \""trans_type\"": \""trans_out\""}, \""object\"": {\""target_bank_code\"": \""Cathay\"", \""target_acct_nbr\"": \""PVLVMEUDUVGWFHEEQDWR\""}, \""channel\"": {\""address_zipcode\"": 18361, \""machine_bank_code\"": \""B_bank\""}}"",3696969600",VMZDTVFCDQNGPUHYFVBP,ATM,SICMEBNJDHPWWCVZJMUS,saving_acct,atm,3696969600,73.33138974,15,trans_out,Cathay,PVLVMEUDUVGWFHEEQDWR,18361,B_bank
3696983296,withdraw,19,customer_id,"""{\""action\"": {\""txn_amt\"": 680.0661524562983, \""txn_fee_amt\"": 15.0, \""trans_type\"": \""trans_out\""}, \""object\"": {\""target_bank_code\"": \""Cathay\"", \""target_acct_nbr\"": \""VRKAUYYKMFUFPNLWRDZY\""}, \""channel\"": {\""address_zipcode\"": 223257, \""machine_bank_code\"": \""Cathay\""}}"",3696969600",GWDIGLGAJYUCPLLPKFYS,ATM,XTXFJVXEYQZOWNWNZVXJ,saving_acct,atm,3696969600,680.0661525,15,trans_out,Cathay,VRKAUYYKMFUFPNLWRDZY,223257,Cathay
3696983296,withdraw,44,customer_id,"""{\""action\"": {\""txn_amt\"": 680.0661524562983, \""txn_fee_amt\"": 15.0, \""trans_type\"": \""trans_out\""}, \""object\"": {\""target_bank_code\"": \""Cathay\"", \""target_acct_nbr\"": \""VRKAUYYKMFUFPNLWRDZY\""}, \""channel\"": {\""address_zipcode\"": 223257, \""machine_bank_code\"": \""Cathay\""}}"",3696969600",GWDIGLGAJYUCPLLPKFYS,ATM,XTXFJVXEYQZOWNWNZVXJ,saving_acct,atm,3696969600,680.0661525,15,trans_out,Cathay,VRKAUYYKMFUFPNLWRDZY,223257,Cathay
3696983498,inquire,2,customer_id,"""{\""action\"": {\""txn_amt\"": 0.0, \""txn_fee_amt\"": 0.0, \""trans_type\"": \""trans_out\""}, \""object\"": {\""target_bank_code\"": \""Cathay\"", \""target_acct_nbr\"": \""QDIPHUYWMSAQCIXVAHKF\""}, \""channel\"": {\""address_zipcode\"": 523453, \""machine_bank_code\"": \""Cathay\""}}"",3696969600",AHCMEYNDEFYPHDZWUBGM,ATM,NKUSFYHYYMPPIBRVJMGH,saving_acct,atm,3696969600,0,0,trans_out,Cathay,QDIPHUYWMSAQCIXVAHKF,523453,Cathay
3696983498,inquire,27,customer_id,"""{\""action\"": {\""txn_amt\"": 0.0, \""txn_fee_amt\"": 0.0, \""trans_type\"": \""trans_out\""}, \""object\"": {\""target_bank_code\"": \""Cathay\"", \""target_acct_nbr\"": \""QDIPHUYWMSAQCIXVAHKF\""}, \""channel\"": {\""address_zipcode\"": 523453, \""machine_bank_code\"": \""Cathay\""}}"",3696969600",AHCMEYNDEFYPHDZWUBGM,ATM,NKUSFYHYYMPPIBRVJMGH,saving_acct,atm,3696969600,0,0,trans_out,Cathay,QDIPHUYWMSAQCIXVAHKF,523453,Cathay
3696987417,transfer,18,customer_id,"""{\""action\"": {\""txn_amt\"": 853.5684704115941, \""txn_fee_amt\"": 15.0, \""trans_type\"": \""trans_in\""}, \""object\"": {\""target_bank_code\"": \""Cathay\"", \""target_acct_nbr\"": \""YBPNGESSENCDPXMTYTAT\""}, \""channel\"": {\""address_zipcode\"": 139503, \""machine_bank_code\"": \""B_bank\""}}"",3696969600",QDYBCMRSYDKGHACVKDUP,ATM,BGQPQOBMDALBOHDZGGNH,saving_acct,atm,3696969600,853.5684704,15,trans_in,Cathay,YBPNGESSENCDPXMTYTAT,139503,B_bank
3696987417,transfer,43,customer_id,"""{\""action\"": {\""txn_amt\"": 853.5684704115941, \""txn_fee_amt\"": 15.0, \""trans_type\"": \""trans_in\""}, \""object\"": {\""target_bank_code\"": \""Cathay\"", \""target_acct_nbr\"": \""YBPNGESSENCDPXMTYTAT\""}, \""channel\"": {\""address_zipcode\"": 139503, \""machine_bank_code\"": \""B_bank\""}}"",3696969600",QDYBCMRSYDKGHACVKDUP,ATM,BGQPQOBMDALBOHDZGGNH,saving_acct,atm,3696969600,853.5684704,15,trans_in,Cathay,YBPNGESSENCDPXMTYTAT,139503,B_bank
